К-31,Площадь Конституции (Ленинский пр.)-Б. Смоленский пр. у ул. Пинегина
К-291,'г. Колпино, ул. Ижорского Батальона, д. 7 г.-  Пушкин, вокзал,шоссе Подбельского'
К-199,ст. метро "Озерки"-ул.Руставели
К-86,станция метро "Звездная" - Благодатная улица
К-87,станция метро "Ленинский проспект" - ж.-д. станция Лигово
К-292,'ст. метро" Купчино" - г. Колпино, ул. Ижорского Батальона '
К-35,'станция метро "Ленинский проспект" - пр. Героев, угол Ленинского пр.'
61,ДЕРЕВНЯ "НОВАЯ" - СТ. МЕТРО "АКАДЕМИЧЕСКАЯ" - ДЕРЕВНЯ "НОВАЯ"
683,'Г. ЛОМОНОСОВ, ВОКЗАЛ - ДЕР. КЛЯСИНО'
18,ул. СТОЙКОСТИ - КОРАБЕЛЬНАЯ УЛ.
43,ПОРТ - БАЛТИЙСКИЙ ВОКЗАЛ
192,'Г. КОЛПИНО, ВОКЗАЛ - ЗВЕЗДНАЯ УЛ.'
367,КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - СОВХОЗ ИМ. ТЕЛЬМАНА
368,'КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ - Г. КОЛПИНО, ОБОРОННАЯ УЛ.'
376ШК,'САПЕРНАЯ УЛ., 9 - Г.ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ "ЖЕЛЕЗНОДОРОЖНАЯ УЛ."'
377,'Г. ПУШКИН, АВТОБУСНАЯ СТАНЦИЯ "ЖЕЛЕЗНОДОРОЖНАЯ УЛ." - ДЕТСКОСЕЛЬСКИЙ БУЛЬВАР '
396,'ПОС. ПЕТРО-СЛАВЯНКА - ПОС. МЕТАЛЛОСТРОЙ, ЦЕНТРАЛЬНАЯ УЛ.'
173,АВТОБУСНАЯ СТАНЦИЯ "УЛ. ЖЕНИ ЕГОРОВОЙ" - ПОС. КАМЕНКА
75,АВТОБУСНАЯ СТАНЦИЯ "УЛ. ЖЕНИ ЕГОРОВОЙ" - ПОС. ЛЕВАШОВО
349,'Г. ЛОМОНОСОВ, ВОКЗАЛ - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ'
99,А.С."УЛ. ЖЕНИ ЕГОРОВОЙ" - ПОС. БУГРЫ
99ШК,УЛ. ОРБЕЛИ - ПОС. БУГРЫ
163,'Ж.-Д. СТ. ЛИГОВО - БСХ, БЫТОВЫЕ ПРИБОРЫ'
88,УЛ.СТОЙКОСТИ - СТ. МЕТРО "ПРОСПЕКТ ВЕТЕРАНОВ"
